id,value
id_0,25.497503206817395
id_1,64.51319052525153
id_2,19.105589437363697
id_3,28.86683295358126
id_4,9.30453122707965
id_5,31.648878490642087
id_6,41.300083474171295
id_7,16.85252430778648
id_8,51.53896136671234
id_9,32.72870670371435
id_10,37.912724828417744
id_11,58.80286593962127
id_12,35.42184242337103
id_13,40.02064476948531
id_14,28.269189060691428
id_15,12.199634786256224
id_16,51.37023065990072
id_17,23.117094497156128
id_18,16.601325953485667
id_19,18.215550600130786
id_20,15.532976438234872
id_21,30.148625903225398
id_22,39.516094135268496
id_23,10.140003176639325
id_24,61.19412355465893
id_25,46.26073505701315
id_26,27.265336760803404
id_27,7.291158617152716
id_28,29.398766691236858
id_29,35.798970014765466
id_30,18.03373651425714
id_31,11.57181649758599
id_32,16.730346804714486
id_33,7.677100672992835
id_34,16.09334516239865
id_35,42.84266079949889
id_36,22.22950737854852
id_37,27.604703076930644
id_38,10.124566841009703
id_39,57.74032476253447
id_40,46.92799803366701
id_41,20.062794238814778
id_42,53.20937359514837
id_43,18.472555613509833
id_44,44.296208376072855
id_45,49.92880631308283
id_46,57.88958201005549
id_47,40.932648188787034
id_48,55.169916141243135
id_49,39.48576167253061
id_50,30.65143789669906
id_51,23.597881961338263
id_52,40.501423865245904
id_53,24.49431060717119
id_54,37.022077063809036
id_55,38.56119568883153
id_56,24.52915530469748
id_57,21.350414671220083
id_58,35.61945566250485
id_59,32.69131528353851
id_60,12.58188461574209
id_61,22.938767325081717
id_62,31.795246319777494
id_63,53.05673295532146
id_64,50.067622421797886
id_65,26.022360619390273
id_66,38.19022776983223
id_67,52.23586819243228
id_68,29.179251126825967
id_69,39.13101661074121
id_70,64.95027504562113
id_71,55.441900652112594
id_72,42.44162658883497
id_73,14.208135406425184
id_74,13.954949892584962
id_75,35.49565667842544
id_76,62.977676467383745
id_77,2.224295036388323
id_78,41.710257589690535
id_79,41.90224692842264
id_80,8.704875413392115
id_81,21.819739896760076
id_82,5.934770537412071
id_83,31.3424398136544
id_84,8.535545124733455
id_85,4.981667780198816
id_86,16.847933004527412
id_87,11.602472283510684
id_88,18.904560268146582
id_89,23.184557077086428
id_90,35.25179830016872
id_91,12.317190827408313
id_92,11.953270407727373
id_93,9.83541474720768
id_94,37.59834116005907
id_95,15.28420113386596
id_96,17.118249079268562
id_97,9.192083987558721
id_98,10.802523096472413
id_99,4.559512165427779
id_100,10.35219494981546
id_101,18.652592655567105
id_102,11.716175984287593
id_103,8.83122343189099
id_104,12.658769370576517
id_105,36.84317794242298
id_106,24.159999785382038
id_107,7.968545564980467
id_108,16.853537006766615
id_109,15.524924716867792
id_110,11.590364647986487
id_111,15.552383385938418
id_112,16.530844771780863
id_113,25.45316203635946
id_114,19.5840178120515
id_115,15.981689599497159
id_116,7.56578674658297
id_117,44.97483188788626
id_118,26.064159908148813
id_119,0.619466092119478
id_120,-0.10065725061811856
id_121,10.324013086458596
id_122,12.52522927742612
id_123,12.260328342657902
id_124,7.442355935000823
id_125,25.045864649724212
id_126,22.710862339186374
id_127,9.53188784973041
id_128,20.058936391165187
id_129,13.713074810857542
id_130,-0.46415439830875727
id_131,32.35765141608079
id_132,14.876208837747594
id_133,21.26108526599558
id_134,26.63852560801123
id_135,24.743540196112797
id_136,9.808575907231276
id_137,22.03161719967017
id_138,78.69020719494226
id_139,61.59581651201465
id_140,26.947832963886654
id_141,18.809821851421578
id_142,24.513118239757215
id_143,7.35927865212938
id_144,13.299572517621494
id_145,9.754792141951999
id_146,19.37937470814038
id_147,7.410597116465396
id_148,12.741948842908194
id_149,15.963258139461676
id_150,46.33094732902103
id_151,20.540575892404323
id_152,22.036324132831037
id_153,14.36168614760597
id_154,13.940623331117191
id_155,23.730558125716254
id_156,24.92874364809451
id_157,36.98083283493183
id_158,3.7409183070022727
id_159,23.014616131564495
id_160,42.13787918183821
id_161,19.27965746155078
id_162,62.16637684007759
id_163,16.807933958643527
id_164,33.81406345806811
id_165,24.415512251432467
id_166,22.472922729285397
id_167,0.36745193751760835
id_168,67.99792738692196
id_169,15.986383080077625
id_170,15.812903785733681
id_171,70.64110353513745
id_172,20.760788178283192
id_173,2.006676959633065
id_174,23.857534467205223
id_175,-0.1989425056848824
id_176,8.204593218730095
id_177,18.22948132378207
id_178,21.98333238960741
id_179,24.910048716698775
id_180,43.0083706908469
id_181,33.14235883169642
id_182,29.61884137599099
id_183,14.08877742813105
id_184,7.439328625379445
id_185,42.102929475556216
id_186,36.095559327157616
id_187,34.07486001221746
id_188,16.193108023601884
id_189,24.06281989916846
id_190,14.333071911939825
id_191,15.392098078027624
id_192,30.44996115281404
id_193,73.02585176228726
id_194,30.635849568442453
id_195,10.84774017203026
id_196,62.774532481872534
id_197,16.793101276552225
id_198,20.098565067629217
id_199,20.91545676399632
